anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1955,5000,34.56
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1955,8000,55.30
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1955,10000,69.12
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1955,5000,39.38
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1955,8000,63.01
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1955,10000,78.76
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1955,5000,41.82
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1955,8000,66.91
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1955,10000,83.64
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1956,5000,34.89
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1956,8000,55.82
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1956,10000,69.78
DELA,sorgenfrei Leben,"{""lebenslang"":true,""gp"":true,""wartezeit_monate"":0,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":true}",1956,5000,35.17
DELA,sorgenfrei Leben,"{""lebenslang"":true,""gp"":true,""wartezeit_monate"":0,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":true}",1956,8000,56.27
DELA,sorgenfrei Leben,"{""lebenslang"":true,""gp"":true,""wartezeit_monate"":0,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":true}",1956,10000,70.34
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1956,5000,33.07
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1956,8000,52.91
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1956,10000,66.14
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1956,5000,37.46
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1956,8000,59.94
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1956,10000,74.92
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1956,5000,39.91
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1956,8000,63.86
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1956,10000,79.82
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1957,5000,33.30
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1957,8000,53.28
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1957,10000,66.60
